"Genus"
"Taxon_1" "[Arcobacter] porcinus"
"Taxon_2100" "Frateuria aurantia"
"Taxon_2101" "Frederiksenia canicola"
"Taxon_2102" "Fretibacterium fastidiosum"
"Taxon_2103" "Friedmanniella luteola"
"Taxon_2104" "Frigoribacterium sp. NBH87"
"Taxon_2105" "Frigoriglobus tundricola"
"Taxon_2106" "Frischella perrara"
"Taxon_2107" "Frondihabitans sp. 762G35"
"Taxon_2108" "Frondihabitans sp. PAMC 28766"
"Taxon_2109" "Fructilactobacillus fructivorans"
"Taxon_2110" "Fructilactobacillus lindneri"
"Taxon_2111" "Fructilactobacillus sanfranciscensis"
"Taxon_2112" "Fuerstia marisgermanicae"
"Taxon_2113" "Fulvivirga sp. S481"
"Taxon_2114" "Furfurilactobacillus rossiae"
"Taxon_2115" "Fusarium fujikuroi"
"Taxon_2116" "Fusarium graminearum"
"Taxon_2117" "Fusarium oxysporum"
"Taxon_2118" "Fusarium pseudograminearum"
"Taxon_2119" "Fusarium venenatum"
"Taxon_2120" "Fusarium verticillioides"
"Taxon_2121" "Fusobacterium canifelinum"
"Taxon_2122" "Fusobacterium gonidiaformans"
"Taxon_2123" "Fusobacterium necrophorum"
"Taxon_2124" "Fusobacterium nucleatum"
"Taxon_2125" "Fusobacterium ulcerans"
"Taxon_2126" "Fusobacterium varium"
"Taxon_2127" "Galbibacter sp. BG1"
"Taxon_2128" "Gallaecimonas mangrovi"
"Taxon_2129" "Gallibacterium anatis"
"Taxon_2130" "Gallionella capsiferriformans"
"Taxon_2131" "Gardnerella leopoldii"
"Taxon_2132" "Gardnerella vaginalis"
"Taxon_2133" "Geitlerinema sp. PCC 7407"
"Taxon_2134" "Gemella haemolysans"
"Taxon_2135" "Gemella morbillorum"
"Taxon_2136" "Gemella sanguinis"
"Taxon_2137" "Geminocystis herdmanii"
"Taxon_2138" "Geminocystis sp. NIES-3708"
"Taxon_2139" "Geminocystis sp. NIES-3709"
"Taxon_2140" "Gemmata massiliana"
"Taxon_2141" "Gemmata obscuriglobus"
"Taxon_2142" "Gemmata sp. SH-PL17"
"Taxon_2143" "Gemmatimonas aurantiaca"
"Taxon_2144" "Gemmatimonas phototrophica"
"Taxon_2145" "Gemmatimonas sp. TET16"
"Taxon_2146" "Gemmatirosa kalamazoonesis"
"Taxon_2147" "Gemmobacter sp. HYN0069"
"Taxon_2148" "Geoalkalibacter subterraneus"
"Taxon_2149" "Geobacillus genomosp. 3"
"Taxon_2150" "Geobacillus sp. 44B"
"Taxon_2151" "Geobacillus sp. 46C-IIa"
"Taxon_2152" "Geobacillus sp. E263"
"Taxon_2153" "Geobacillus sp. GHH01"
"Taxon_2154" "Geobacillus stearothermophilus"
"Taxon_2155" "Geobacillus subterraneus"
"Taxon_2156" "Geobacillus thermocatenulatus"
"Taxon_2157" "Geobacillus thermodenitrificans"
"Taxon_2158" "Geobacillus thermoleovorans"
"Taxon_2159" "Geobacter anodireducens"
"Taxon_2160" "Geobacter bemidjiensis"
"Taxon_2161" "Geobacter bremensis"
"Taxon_2162" "Geobacter daltonii"
"Taxon_2163" "Geobacter lovleyi"
"Taxon_2164" "Geobacter metallireducens"
"Taxon_2165" "Geobacter pickeringii"
"Taxon_2166" "Geobacter sp. DSM 9736"
"Taxon_2167" "Geobacter sp. FeAm09"
"Taxon_2168" "Geobacter sp. Jerry-YX"
"Taxon_2169" "Geobacter sp. M18"
"Taxon_2170" "Geobacter sp. M21"
"Taxon_2171" "Geobacter sp. SVR"
"Taxon_2172" "Geobacter sulfurreducens"
"Taxon_2173" "Geobacter uraniireducens"
"Taxon_2174" "Geodermatophilus obscurus"
"Taxon_2175" "Georgenia faecalis"
"Taxon_2176" "Georgenia sp. Z294"
"Taxon_2177" "Georgenia sp. Z443"
"Taxon_2178" "Georhizobium profundi"
"Taxon_2179" "Geosporobacter ferrireducens"
"Taxon_2180" "Geovibrio thiophilus"
"Taxon_2181" "Giardia intestinalis"
"Taxon_2182" "Gibbsiella quercinecans"
"Taxon_2183" "Gilliamella apicola"
"Taxon_2184" "Gillisia sp. Hel1_33_143"
"Taxon_2185" "Gilvibacter sp. SZ-19"
"Taxon_2186" "Gimesia alba"
"Taxon_2187" "Gimesia algae"
"Taxon_2188" "Gimesia aquarii"
"Taxon_2189" "Gimesia benthica"
"Taxon_2190" "Gimesia chilikensis"
"Taxon_2191" "Gimesia fumaroli"
"Taxon_2192" "Gimesia maris"
"Taxon_2193" "Gimesia panareensis"
"Taxon_2194" "Glaciecola amylolytica"
"Taxon_2195" "Glaciecola nitratireducens"
"Taxon_2196" "Glaciihabitans sp. INWT7"
"Taxon_2197" "Glaciimonas sp. PAMC28666"
"Taxon_2198" "Glaesserella parasuis"
"Taxon_2199" "Glaesserella sp. 15-184"
"Taxon_2200" "Gloeobacter kilaueensis"
"Taxon_2201" "Gloeobacter violaceus"
"Taxon_2202" "Gloeocapsa sp. PCC 7428"
"Taxon_2203" "Gloeomargarita lithophora"
"Taxon_2204" "Gloeothece citriformis"
"Taxon_2205" "Gloeothece verrucosa"
"Taxon_2206" "Gluconacetobacter diazotrophicus"
"Taxon_2207" "Gluconobacter albidus"
"Taxon_2208" "Gluconobacter oxydans"
"Taxon_2209" "Gluconobacter sphaericus"
"Taxon_2210" "Gluconobacter thailandicus"
"Taxon_2211" "Glutamicibacter arilaitensis"
"Taxon_2212" "Glutamicibacter creatinolyticus"
"Taxon_2213" "Glutamicibacter halophytocola"
"Taxon_2214" "Glutamicibacter mishrai"
"Taxon_2215" "Glutamicibacter nicotianae"
"Taxon_2216" "Glutamicibacter protophormiae"
"Taxon_2217" "Glutamicibacter sp. ZJUTW"
"Taxon_2218" "Glycocaulis alkaliphilus"
"Taxon_2219" "Gordonia ajococcus"
"Taxon_2220" "Gordonia alkanivorans"
"Taxon_2221" "Gordonia bronchialis"
"Taxon_2222" "Gordonia insulae"
"Taxon_2223" "Gordonia iterans"
"Taxon_2224" "Gordonia phage Lilbeanie"
"Taxon_2225" "Gordonia phthalatica"
"Taxon_2226" "Gordonia polyisoprenivorans"
"Taxon_2227" "Gordonia rubripertincta"
"Taxon_2228" "Gordonia sp. 135"
"Taxon_2229" "Gordonia sp. 1D"
"Taxon_2230" "Gordonia sp. HY186"
"Taxon_2231" "Gordonia sp. JH63"
"Taxon_2232" "Gordonia sp. KTR9"
"Taxon_2233" "Gordonia sp. PDNC005"
"Taxon_2234" "Gordonia sp. YC-JH1"
"Taxon_2235" "Gordonia terrae"
"Taxon_2236" "Gordonia virus OneUp"
"Taxon_2237" "Gordonibacter pamelaeae"
"Taxon_2238" "Gordonibacter urolithinfaciens"
"Taxon_2239" "Gottschalkia acidurici"
"Taxon_2240" "Gracilibacillus sp. SCU50"
"Taxon_2241" "Gramella echinicola"
"Taxon_2242" "Gramella flava"
"Taxon_2243" "Gramella forsetii"
"Taxon_2244" "Gramella fulva"
"Taxon_2245" "Gramella salexigens"
"Taxon_2246" "Gramella sp. MAR_2010_147"
"Taxon_2247" "Granulibacter bethesdensis"
"Taxon_2248" "Granulicella mallensis"
"Taxon_2249" "Granulicella sp. 5B5"
"Taxon_2250" "Granulicella sp. WH15"
"Taxon_2251" "Granulicella tundricola"
"Taxon_2252" "Granulosicoccus antarcticus"
"Taxon_2253" "Grimontia hollisae"
"Taxon_2254" "Gryllotalpicola protaetiae"
"Taxon_2255" "Gudongella oleilytica"
"Taxon_2256" "Guillardia theta"
"Taxon_2257" "Guyparkeria halophila"
"Taxon_2258" "Gynuella sunshinyii"
"Taxon_2259" "Haematobacter massiliensis"
"Taxon_2260" "Haematospirillum jordaniae"
"Taxon_2261" "Haemophilus haemolyticus"
"Taxon_2262" "Haemophilus influenzae"
"Taxon_2263" "Haemophilus parahaemolyticus"
"Taxon_2264" "Haemophilus parainfluenzae"
"Taxon_2265" "Haemophilus pittmaniae"
"Taxon_2266" "Haemophilus sp. oral taxon 036"
"Taxon_2267" "Hafnia alvei"
"Taxon_2268" "Hafnia paralvei"
"Taxon_2269" "Hahella chejuensis"
"Taxon_2270" "Hahella sp. KA22"
"Taxon_2271" "Halalkaliarchaeum desulfuricum"
"Taxon_2272" "Halalkalicoccus jeotgali"
"Taxon_2273" "Halanaeroarchaeum sulfurireducens"
"Taxon_2274" "Halanaerobium hydrogeniformans"
"Taxon_2275" "Halanaerobium praevalens"
"Taxon_2276" "Halapricum salinum"
"Taxon_2277" "Halarchaeum sp. CBA1220"
"Taxon_2278" "Halarcobacter bivalviorum"
"Taxon_2279" "Halarcobacter ebronensis"
"Taxon_2280" "Haliangium ochraceum"
"Taxon_2281" "Halioglobus japonicus"
"Taxon_2282" "Halioglobus maricola"
"Taxon_2283" "Halioglobus pacificus"
"Taxon_2284" "Haliscomenobacter hydrossis"
"Taxon_2285" "Haloactinobacterium sp. HY164"
"Taxon_2286" "Haloactinobacterium sp. RN3S43"
"Taxon_2287" "Haloarcula sp. CBA1115"
"Taxon_2288" "Haloarcula sp. JP-L23"
"Taxon_2289" "Haloarcula taiwanensis"
"Taxon_2290" "Halobacillus halophilus"
"Taxon_2291" "Halobacillus litoralis"
"Taxon_2292" "Halobacillus mangrovi"
"Taxon_2293" "Halobacteriovorax marinus"
"Taxon_2294" "Halobacteriovorax sp. BALOs_7"
"Taxon_2295" "Halobacterium hubeiense"
"Taxon_2296" "Halobacterium salinarum"
"Taxon_2297" "Halobacterium sp. DL1"
"Taxon_2298" "Halobacteroides halobius"
"Taxon_2299" "Halobellus limi"
"Taxon_2300" "Halobiforma lacisalsi"
"Taxon_2301" "Halobonum sp. Gai3-2"
"Taxon_2302" "Halobonum sp. NJ-3-1"
"Taxon_2303" "Halocella sp. SP3-1"
"Taxon_2304" "Halocynthiibacter arcticus"
"Taxon_2305" "Halodesulfurarchaeum formicicum"
"Taxon_2306" "Haloferax alexandrinus"
"Taxon_2307" "Haloferax gibbonsii"
"Taxon_2308" "Haloferax mediterranei"
"Taxon_2309" "Haloferax volcanii"
"Taxon_2310" "Halolamina sp. CBA1230"
"Taxon_2311" "Halomicrobium sp. LC1Hm"
"Taxon_2312" "Halomicronema hongdechloris"
"Taxon_2313" "Halomonas aestuarii"
"Taxon_2314" "Halomonas alkaliphila"
"Taxon_2315" "Halomonas beimenensis"
"Taxon_2316" "Halomonas campaniensis"
"Taxon_2317" "Halomonas campisalis"
"Taxon_2318" "Halomonas chromatireducens"
"Taxon_2319" "Halomonas elongata"
"Taxon_2320" "Halomonas huangheensis"
"Taxon_2321" "Halomonas hydrothermalis"
"Taxon_2322" "Halomonas meridiana"
"Taxon_2323" "Halomonas piezotolerans"
"Taxon_2324" "Halomonas socia"
"Taxon_2325" "Halomonas sp. 1513"
"Taxon_2326" "Halomonas sp. A3H3"
"Taxon_2327" "Halomonas sp. A40-4"
"Taxon_2328" "Halomonas sp. BC-M4-5"
"Taxon_2329" "Halomonas sp. GFAJ-1"
"Taxon_2330" "Halomonas sp. GT"
"Taxon_2331" "Halomonas sp. HG01"
"Taxon_2332" "Halomonas sp. hl-4"
"Taxon_2333" "Halomonas sp. HL-93"
"Taxon_2334" "Halomonas sp. JS92-SW72"
"Taxon_2335" "Halomonas sp. KO116"
"Taxon_2336" "Halomonas sp. MCCC 1A11059"
"Taxon_2337" "Halomonas sp. MCCC 1A13316"
"Taxon_2338" "Halomonas sp. MCCC 1A13718"
"Taxon_2339" "Halomonas sp. N3-2A"
"Taxon_2340" "Halomonas sp. PGE1"
"Taxon_2341" "Halomonas sp. SF2003"
"Taxon_2342" "Halomonas sp. SH5A2"
"Taxon_2343" "Halomonas sp. THAF12"
"Taxon_2344" "Halomonas sp. THAF5a"
"Taxon_2345" "Halomonas sp. Y2R2"
"Taxon_2346" "Halomonas sp. YLGW01"
"Taxon_2347" "Halomonas subglaciescola"
"Taxon_2348" "Halomonas titanicae"
"Taxon_2349" "Halomonas venusta"
"Taxon_2350" "Halopenitus persicus"
"Taxon_2351" "Halopiger xanaduensis"
"Taxon_2352" "Haloplanus aerogenes"
"Taxon_2353" "Haloplanus rallus"
"Taxon_2354" "Haloplanus rubicundus"
"Taxon_2355" "Haloprofundus sp. MHR1"
"Taxon_2356" "Halorhabdus sp. CBA1104"
"Taxon_2357" "Halorhabdus tiamatea"
"Taxon_2358" "Halorhabdus utahensis"
"Taxon_2359" "Halorhodospira halochloris"
"Taxon_2360" "Halorhodospira halophila"
"Taxon_2361" "Halorientalis sp. IM1011"
"Taxon_2362" "Halorubrum ezzemoulense"
"Taxon_2363" "Halorubrum lacusprofundi"
"Taxon_2364" "Halorubrum sp. BOL3-1"
"Taxon_2365" "Halorubrum sp. CBA1229"
"Taxon_2366" "Halorubrum sp. PV6"
"Taxon_2367" "Halorubrum sp. RHB-C"
"Taxon_2368" "Halorubrum trapanicum"
"Taxon_2369" "Halorussus sp. RC-68"
"Taxon_2370" "Halorussus sp. ZS-3"
"Taxon_2371" "Halosimplex litoreum"
"Taxon_2372" "Halosimplex pelagicum"
"Taxon_2373" "Halosimplex rubrum"
"Taxon_2374" "Halostagnicola larsenii"
"Taxon_2375" "Halostella pelagica"
"Taxon_2376" "Halotalea alkalilenta"
"Taxon_2377" "Haloterrigena daqingensis"
"Taxon_2378" "Haloterrigena longa"
"Taxon_2379" "Haloterrigena salifodinae"
"Taxon_2380" "Haloterrigena sp. KZCA68"
"Taxon_2381" "Haloterrigena sp. YPL8"
"Taxon_2382" "Haloterrigena turkmenica"
"Taxon_2383" "Halothece sp. PCC 7418"
"Taxon_2384" "Halothermothrix orenii"
"Taxon_2385" "Halothiobacillus neapolitanus"
"Taxon_2386" "Halothiobacillus sp. LS2"
"Taxon_2387" "Halovivax ruber"
"Taxon_2388" "Halovivax sp. KZCA124"
"Taxon_2389" "Hartmannibacter diazotrophicus"
"Taxon_2390" "Hathewaya histolytica"
"Taxon_2391" "Helicobacter apodemus"
"Taxon_2392" "Helicobacter bilis"
"Taxon_2393" "Helicobacter bizzozeronii"
"Taxon_2394" "Helicobacter canadensis"
"Taxon_2395" "Helicobacter canis"
"Taxon_2396" "Helicobacter cetorum"
"Taxon_2397" "Helicobacter cholecystus"
"Taxon_2398" "Helicobacter cinaedi"
"Taxon_2399" "Helicobacter felis"
"Taxon_2400" "Helicobacter heilmannii"
"Taxon_2401" "Helicobacter hepaticus"
"Taxon_2402" "Helicobacter himalayensis"
"Taxon_2403" "Helicobacter mustelae"
"Taxon_2404" "Helicobacter pullorum"
"Taxon_2405" "Helicobacter pylori"
"Taxon_2406" "Helicobacter sp. MIT 01-6242"
"Taxon_2407" "Helicobacter suis"
"Taxon_2408" "Helicobacter typhlonius"
"Taxon_2409" "Helicobacter winghamensis"
"Taxon_2410" "Heliobacterium modesticaldum"
"Taxon_2411" "Heliorestis convoluta"
"Taxon_2412" "Hemiselmis andersenii"
"Taxon_2413" "Herbaspirillum frisingense"
"Taxon_2414" "Herbaspirillum hiltneri"
"Taxon_2415" "Herbaspirillum huttiense"
"Taxon_2416" "Herbaspirillum robiniae"
"Taxon_2417" "Herbaspirillum rubrisubalbicans"
"Taxon_2418" "Herbaspirillum seropedicae"
"Taxon_2419" "Herbaspirillum sp. meg3"
"Taxon_2420" "Herbiconiux sp. SALV-R1"
"Taxon_2421" "Herbinix luporum"
"Taxon_2422" "Herminiimonas arsenitoxidans"
"Taxon_2423" "Hippea maritima"
"Taxon_2424" "Hirschia baltica"
"Taxon_2425" "Histophilus somni"
"Taxon_2426" "Hoeflea phototrophica"
"Taxon_2427" "Hoeflea sp. IMCC20628"
"Taxon_2428" "Homo sapiens"
"Taxon_2429" "Hoyosella subflava"
"Taxon_2430" "Humibacter sp. BT305"
"Taxon_2431" "Humibacter sp. WJ7-1"
"Taxon_2432" "Humisphaera borealis"
"Taxon_2433" "Hungatella hathewayi"
"Taxon_2434" "Hydrocarboniclastica marina"
"Taxon_2435" "Hydrogenimonas urashimensis"
"Taxon_2436" "Hydrogenophaga crassostreae"
"Taxon_2437" "Hydrogenophaga pseudoflava"
"Taxon_2438" "Hydrogenophaga sp. BA0156"
"Taxon_2439" "Hydrogenophaga sp. BPS33"
"Taxon_2440" "Hydrogenophaga sp. NH-16"
"Taxon_2441" "Hydrogenophaga sp. PAMC20947"
"Taxon_2442" "Hydrogenophaga sp. PBC"
"Taxon_2443" "Hydrogenophaga sp. PBL-H3"
"Taxon_2444" "Hydrogenophaga sp. RAC07"
"Taxon_2445" "Hydrogenophaga sp. YM1"
"Taxon_2446" "Hydrogenophilus thermoluteolus"
"Taxon_2447" "Hydrogenovibrio crunogenus"
"Taxon_2448" "Hydrogenovibrio marinus"
"Taxon_2449" "Hydrogenovibrio thermophilus"
"Taxon_2450" "Hylemonella gracilis"
"Taxon_2451" "Hymenobacter baengnokdamensis"
"Taxon_2452" "Hymenobacter busanensis"
"Taxon_2453" "Hymenobacter jejuensis"
"Taxon_2454" "Hymenobacter nivis"
"Taxon_2455" "Hymenobacter oligotrophus"
"Taxon_2456" "Hymenobacter qilianensis"
"Taxon_2457" "Hymenobacter radiodurans"
"Taxon_2458" "Hymenobacter russus"
"Taxon_2459" "Hymenobacter sedentarius"
"Taxon_2460" "Hymenobacter sp. APR13"
"Taxon_2461" "Hymenobacter sp. BRD128"
"Taxon_2462" "Hymenobacter sp. BRD67"
"Taxon_2463" "Hymenobacter sp. DG01"
"Taxon_2464" "Hymenobacter sp. DG25A"
"Taxon_2465" "Hymenobacter sp. DG25B"
"Taxon_2466" "Hymenobacter sp. HDW8"
"Taxon_2467" "Hymenobacter sp. NBH84"
"Taxon_2468" "Hymenobacter sp. PAMC 26554"
"Taxon_2469" "Hymenobacter sp. PAMC 26628"
"Taxon_2470" "Hymenobacter sp. S2-20-2"
"Taxon_2471" "Hymenobacter sp. TS19"
"Taxon_2472" "Hymenobacter swuensis"
"Taxon_2473" "Hypericibacter adhaerens"
"Taxon_2474" "Hypericibacter terrae"
"Taxon_2475" "Hyphobacterium sp. CCMP332"
"Taxon_2476" "Hyphomicrobium denitrificans"
"Taxon_2477" "Hyphomicrobium nitrativorans"
"Taxon_2478" "Hyphomicrobium sp. MC1"
"Taxon_2479" "Hyphomonas sp. CACIAM 19H1"
"Taxon_2480" "Hyphomonas sp. KY3"
"Taxon_2481" "Hyphomonas sp. Mor2"
"Taxon_2482" "Ichthyobacterium seriolicida"
"Taxon_2483" "Idiomarina andamanensis"
"Taxon_2484" "Idiomarina loihiensis"
"Taxon_2485" "Idiomarina piscisalsi"
"Taxon_2486" "Idiomarina sp. OT37-5b"
"Taxon_2487" "Idiomarina sp. X4"
"Taxon_2488" "Ignavibacterium album"
"Taxon_2489" "Ignicoccus islandicus"
"Taxon_2490" "Ilumatobacter coccineus"
"Taxon_2491" "Immundisolibacter cernigliae"
"Taxon_2492" "Indioceanicola profundi"
"Taxon_2493" "Inhella inkyongensis"
"Taxon_2494" "Intestinibaculum porci"
"Taxon_2495" "Intestinimonas butyriciproducens"
"Taxon_2496" "Intrasporangium calvum"
"Taxon_2497" "Iodobacter fluviatilis"
"Taxon_2498" "Iodobacter sp. H11R3"
"Taxon_2499" "Isoptericola dokdonensis"
"Taxon_2500" "Isoptericola variabilis"
"Taxon_2501" "Isosphaera pallida"
"Taxon_2502" "Janibacter indicus"
"Taxon_2503" "Janibacter limosus"
"Taxon_2504" "Janibacter melonis"
"Taxon_2505" "Janibacter sp. YB324"
"Taxon_2506" "Jannaschia sp. CCS1"
"Taxon_2507" "Janthinobacterium agaricidamnosum"
"Taxon_2508" "Janthinobacterium lividum"
"Taxon_2509" "Janthinobacterium sp. 1_2014MBL_MicDiv"
"Taxon_2510" "Janthinobacterium sp. 17J80-10"
"Taxon_2511" "Janthinobacterium sp. B9-8"
"Taxon_2512" "Janthinobacterium sp. HH102"
"Taxon_2513" "Janthinobacterium sp. LM6"
"Taxon_2514" "Janthinobacterium sp. Marseille"
"Taxon_2515" "Janthinobacterium sp. PLB02"
"Taxon_2516" "Janthinobacterium svalbardensis"
"Taxon_2517" "Janthinobacterium tructae"
"Taxon_2518" "Jatrophihabitans sp. GAS493"
"Taxon_2519" "Jejubacter calystegiae"
"Taxon_2520" "Jeongeupia sp. HS-3"
"Taxon_2521" "Jeongeupia sp. USM3"
"Taxon_2522" "Jeotgalibaca arthritidis"
"Taxon_2523" "Jeotgalibaca ciconiae"
"Taxon_2524" "Jeotgalibaca dankookensis"
"Taxon_2525" "Jeotgalibaca porci"
"Taxon_2526" "Jeotgalibaca sp. PTS2502"
"Taxon_2527" "Jeotgalibacillus malaysiensis"
"Taxon_2528" "Jeotgalicoccus saudimassiliensis"
"Taxon_2529" "Jiangella alkaliphila"
"Taxon_2530" "Jiangella sp. DSM 45060"
"Taxon_2531" "Jinshanibacter zhutongyuii"
"Taxon_2532" "Jonesia denitrificans"
"Taxon_2533" "Kaistella antarctica"
"Taxon_2534" "Kaistella carnis"
"Taxon_2535" "Kaistella daneshvariae"
"Taxon_2536" "Kaistella flava (ex Peng et al. 2021)"
"Taxon_2537" "Kaistella jeonii"
"Taxon_2538" "Kaistia sp. 32K"
"Taxon_2539" "Kangiella geojedonensis"
"Taxon_2540" "Kangiella koreensis"
"Taxon_2541" "Kangiella profundi"
"Taxon_2542" "Kangiella sediminilitoris"
"Taxon_2543" "Kazachstania africana"
"Taxon_2544" "Kazachstania naganishii"
"Taxon_2545" "Keratinibaculum paraultunense"
"Taxon_2546" "Kerstersia gyiorum"
"Taxon_2547" "Ketobacter alkanivorans"
"Taxon_2548" "Ketogulonicigenium robustum"
"Taxon_2549" "Ketogulonicigenium vulgare"
"Taxon_2550" "Kibdelosporangium phytohabitans"
"Taxon_2551" "Kineobactrum salinum"
"Taxon_2552" "Kineococcus radiotolerans"
"Taxon_2553" "Kingella denitrificans"
"Taxon_2554" "Kingella kingae"
"Taxon_2555" "Kingella oralis"
"Taxon_2556" "Kinneretia sp. DAIF2"
"Taxon_2557" "Kiritimatiella glycovorans"
"Taxon_2558" "Kitasatospora albolonga"
"Taxon_2559" "Kitasatospora aureofaciens"
"Taxon_2560" "Kitasatospora setae"
"Taxon_2561" "Kitasatospora sp. MMS16-BH015"
"Taxon_2562" "Kitasatospora sp. NA04385"
"Taxon_2563" "Klebsiella aerogenes"
"Taxon_2564" "Klebsiella africana"
"Taxon_2565" "Klebsiella grimontii"
"Taxon_2566" "Klebsiella huaxiensis"
"Taxon_2567" "Klebsiella michiganensis"
"Taxon_2568" "Klebsiella oxytoca"
"Taxon_2569" "Klebsiella pneumoniae"
"Taxon_2570" "Klebsiella quasipneumoniae"
"Taxon_2571" "Klebsiella quasivariicola"
"Taxon_2572" "Klebsiella sp. BDA134-6"
"Taxon_2573" "Klebsiella sp. FDAARGOS_511"
"Taxon_2574" "Klebsiella sp. LTGPAF-6F"
"Taxon_2575" "Klebsiella sp. LY"
"Taxon_2576" "Klebsiella sp. MPUS7"
"Taxon_2577" "Klebsiella sp. P1CD1"
"Taxon_2578" "Klebsiella sp. STW0522-44"
"Taxon_2579" "Klebsiella sp. WP3-S18-ESBL-05"
"Taxon_2580" "Klebsiella sp. WP4-W18-ESBL-05"
"Taxon_2581" "Klebsiella sp. WP7-S18-ESBL-04"
"Taxon_2582" "Klebsiella sp. WP8-S18-ESBL-06"
"Taxon_2583" "Klebsiella variicola"
"Taxon_2584" "Kluyvera ascorbata"
"Taxon_2585" "Kluyvera genomosp. 3"
"Taxon_2586" "Kluyvera intermedia"
"Taxon_2587" "Kluyveromyces lactis"
"Taxon_2588" "Kluyveromyces marxianus"
"Taxon_2589" "Kocuria flava"
"Taxon_2590" "Kocuria indica"
"Taxon_2591" "Kocuria palustris"
"Taxon_2592" "Kocuria rhizophila"
"Taxon_2593" "Kocuria rosea"
"Taxon_2594" "Kocuria sp. BT304"
"Taxon_2595" "Kocuria sp. KD4"
"Taxon_2596" "Kocuria sp. TGY1120_3"
"Taxon_2597" "Kocuria sp. TGY1127_2"
"Taxon_2598" "Kocuria turfanensis"
"Taxon_2599" "Kocuria varians"
"Taxon_2600" "Koleobacter methoxysyntrophicus"
"Taxon_2601" "Komagataeibacter europaeus"
"Taxon_2602" "Komagataeibacter hansenii"
"Taxon_2603" "Komagataeibacter medellinensis"
"Taxon_2604" "Komagataeibacter nataicola"
"Taxon_2605" "Komagataeibacter oboediens"
"Taxon_2606" "Komagataeibacter rhaeticus"
"Taxon_2607" "Komagataeibacter saccharivorans"
"Taxon_2608" "Komagataeibacter xylinus"
"Taxon_2609" "Komagataella phaffii"
"Taxon_2610" "Kordia antarctica"
"Taxon_2611" "Kordia sp. SMS9"
"Taxon_2612" "Kordiimonas pumila"
"Taxon_2613" "Kosakonia arachidis"
"Taxon_2614" "Kosakonia cowanii"
"Taxon_2615" "Kosakonia oryzae"
"Taxon_2616" "Kosakonia pseudosacchari"
"Taxon_2617" "Kosakonia radicincitans"
"Taxon_2618" "Kosakonia sacchari"
"Taxon_2619" "Kosakonia sp. CCTCC M2018092"
"Taxon_2620" "Kosakonia sp. MUSA4"
"Taxon_2621" "Kosakonia sp. SMBL-WEM22"
"Taxon_2622" "Kozakia baliensis"
"Taxon_2623" "Kribbella flavida"
"Taxon_2624" "Kribbella qitaiheensis"
"Taxon_2625" "Kroppenstedtia eburnea"
"Taxon_2626" "Kroppenstedtia pulmonis"
"Taxon_2627" "Ktedonosporobacter rubrisoli"
"Taxon_2628" "Kurthia sp. 11kri321"
"Taxon_2629" "Kurthia zopfii"
"Taxon_2630" "Kushneria konosiri"
"Taxon_2631" "Kushneria marisflavi"
"Taxon_2632" "Kushneria phosphatilytica"
"Taxon_2633" "Kutzneria albida"
"Taxon_2634" "Kyrpidia spormannii"
"Taxon_2635" "Kyrpidia tusciae"
"Taxon_2636" "Kytococcus sedentarius"
"Taxon_2637" "Labilibaculum antarcticum"
"Taxon_2638" "Labilithrix luteola"
"Taxon_2639" "Labrenzia aggregata"
"Taxon_2640" "Labrenzia alexandrii"
"Taxon_2641" "Labrenzia sp. CP4"
"Taxon_2642" "Labrenzia sp. PHM005"
"Taxon_2643" "Labrenzia sp. THAF35"
"Taxon_2644" "Labrenzia sp. THAF82"
"Taxon_2645" "Labrenzia sp. VG12"
"Taxon_2646" "Labrys sp. KNU-23"
"Taxon_2647" "Laceyella sacchari"
"Taxon_2648" "Lachancea thermotolerans"
"Taxon_2649" "Lachnoanaerobaculum umeaense"
"Taxon_2650" "Lachnoclostridium phocaeense"
"Taxon_2651" "Lachnoclostridium phytofermentans"
"Taxon_2652" "Lachnoclostridium sp. YL32"
"Taxon_2653" "Lachnospira eligens"
"Taxon_2654" "Lacibacter sp. S13-6-6"
"Taxon_2655" "Lacimicrobium alkaliphilum"
"Taxon_2656" "Lacinutrix sp. 5H-3-7-4"
"Taxon_2657" "Lacinutrix sp. Bg11-31"
"Taxon_2658" "Lacinutrix sp. WUR7"
"Taxon_2659" "Lacinutrix venerupis"
"Taxon_2660" "Lacipirellula limnantheis"
"Taxon_2661" "Lacipirellula parvula"
"Taxon_2662" "Lacrimispora saccharolytica"
"Taxon_2663" "Lacrimispora sphenoides"
"Taxon_2664" "Lacticaseibacillus casei"
"Taxon_2665" "Lacticaseibacillus manihotivorans"
"Taxon_2666" "Lacticaseibacillus paracasei"
"Taxon_2667" "Lacticaseibacillus rhamnosus"
"Taxon_2668" "Lacticaseibacillus zeae"
"Taxon_2669" "Lactiplantibacillus paraplantarum"
"Taxon_2670" "Lactiplantibacillus pentosus"
"Taxon_2671" "Lactiplantibacillus plantarum"
"Taxon_2672" "Lactobacillus acetotolerans"
"Taxon_2673" "Lactobacillus acidophilus"
"Taxon_2674" "Lactobacillus amylovorus"
"Taxon_2675" "Lactobacillus apis"
"Taxon_2676" "Lactobacillus crispatus"
"Taxon_2677" "Lactobacillus delbrueckii"
"Taxon_2678" "Lactobacillus gasseri"
